id,postcode,locality,state,SA2_CODE_2021,SA2_NAME_2021
230,200,ANU,ACT,NA,NA
21820,200,Australian National University,ACT,NA,NA
232,800,DARWIN,NT,701011002.0,Darwin City
24049,800,DARWIN CITY,NT,701011002.0,Darwin City
233,801,DARWIN,NT,NA,NA
24055,803,WAGAIT BEACH,NT,NA,NA
234,804,PARAP,NT,NA,NA
235,810,ALAWA,NT,701021029.0,Wanguri
236,810,BRINKIN,NT,701021029.0,Wanguri
237,810,CASUARINA,NT,701021029.0,Wanguri
19972,810,COCONUT GROVE,NT,701021029.0,Wanguri
239,810,JINGILI,NT,701021029.0,Wanguri
240,810,LEE POINT,NT,701021029.0,Wanguri
19973,810,LYONS,NT,701021029.0,Wanguri
241,810,MILLNER,NT,701021029.0,Wanguri
242,810,MOIL,NT,701021029.0,Wanguri
19974,810,MUIRHEAD,NT,701021029.0,Wanguri
243,810,NAKARA,NT,701021029.0,Wanguri
244,810,NIGHTCLIFF,NT,701021029.0,Wanguri
245,810,RAPID CREEK,NT,701021029.0,Wanguri
246,810,TIWI,NT,701021029.0,Wanguri
247,810,WAGAMAN,NT,701021029.0,Wanguri
248,810,WANGURI,NT,701021029.0,Wanguri
249,811,CASUARINA,NT,NA,NA
19975,812,ANULA,NT,701021030.0,Wulagi
19976,812,BUFFALO CREEK,NT,701021030.0,Wulagi
19977,812,HOLMES,NT,701021030.0,Wulagi
251,812,KARAMA,NT,701021030.0,Wulagi
252,812,LEANYER,NT,701021030.0,Wulagi
253,812,MALAK,NT,701021030.0,Wulagi
254,812,MARRARA,NT,701021030.0,Wulagi
255,812,NORTHLAKES,NT,701021030.0,Wulagi
256,812,SANDERSON,NT,701021030.0,Wulagi
257,812,WOODLEIGH GARDENS,NT,701021030.0,Wulagi
258,812,WULAGI,NT,701021030.0,Wulagi
24056,813,KARAMA,NT,NA,NA
259,813,SANDERSON,NT,NA,NA
260,814,NIGHTCLIFF,NT,NA,NA
261,815,CHARLES DARWIN UNIVERSITY,NT,NA,NA
262,820,BAGOT,NT,701021012.0,Berrimah
263,820,BAYVIEW,NT,701021012.0,Berrimah
264,820,CHARLES DARWIN,NT,701021012.0,Berrimah
265,820,COONAWARRA,NT,701021012.0,Berrimah
266,820,CULLEN BAY,NT,701021012.0,Berrimah
19978,820,DARWIN DC,NT,701021012.0,Berrimah
268,820,DARWIN INTERNATIONAL AIRPORT,NT,701021012.0,Berrimah
269,820,DARWIN MC,NT,701021012.0,Berrimah
270,820,EAST POINT,NT,701021012.0,Berrimah
19979,820,EATON,NT,701021012.0,Berrimah
271,820,FANNIE BAY,NT,701021012.0,Berrimah
272,820,LARRAKEYAH,NT,701021012.0,Berrimah
273,820,LUDMILLA,NT,701021012.0,Berrimah
274,820,PARAP,NT,701021012.0,Berrimah
275,820,RAAF BASE DARWIN,NT,701021012.0,Berrimah
276,820,STUART PARK,NT,701021012.0,Berrimah
277,820,THE GARDENS,NT,701021012.0,Berrimah
278,820,THE NARROWS,NT,701021012.0,Berrimah
279,820,WINNELLIE,NT,701021012.0,Berrimah
280,820,WOOLNER,NT,701021012.0,Berrimah
281,821,WINNELLIE,NT,NA,NA
282,822,ACACIA HILLS,NT,702051067.0,Katherine
19980,822,ANGURUGU,NT,702051067.0,Katherine
19981,822,ANINDILYAKWA,NT,702051067.0,Katherine
